epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.1981938571233128,0.7144760706222009,0.7143455264019569,0.6754163175092548,2e-05,1922.465125,2533.0
2,0.8751743507296124,0.8582374060776549,0.8583115729051135,0.8423000328301304,2e-05,1886.065,2533.0
3,0.7722958831976489,0.9010252803790206,0.9010659835663787,0.890232511821652,2e-05,1897.5935,2533.0
4,0.7263553736770271,0.9203094348003109,0.9203500614740903,0.9111256478178077,2e-05,1887.815125,2533.0
5,0.6944586625759686,0.9357935127265549,0.935819074657356,0.9277772168995245,1e-05,1939.702,2533.0
6,0.6422396323196722,0.9561263895571924,0.9561546310111396,0.9503372086308383,1e-05,1944.051375,2533.0
7,0.620804517888721,0.9651577401882765,0.9651652009760017,0.9607159909128556,1e-05,1973.17775,2533.0
8,0.6157158033065141,0.9681435145772415,0.9681625978368189,0.9627633638119578,1e-05,1968.722,2533.0
9,0.6077796140738833,0.9715734537513417,0.9715818281297531,0.9667827874549523,1e-05,2080.78125,2533.0
10,0.6019329696011584,0.9748923517291582,0.9749011521065818,0.9705935508193461,5e-06,2039.759625,2533.0
11,0.5852262541622126,0.9809626037926737,0.9809684485346063,0.9771164978308055,5e-06,1932.68975,2533.0
