epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,0.7690295053187318,0.8663842841462385,0.8668349093615684,0.8685735809313885,2e-05,1621.19025,2221.0
2,0.6776411845713509,0.9145816329402494,0.91476894554492,0.9151050522515364,2e-05,1566.309625,2221.0
3,0.6375038140426899,0.9342405223607554,0.9343522151369964,0.9330999111918434,2e-05,1565.10375,2221.0
4,0.6183728166235942,0.9443443753342152,0.944409601717396,0.9425107894826524,2e-05,1574.690875,2221.0
5,0.6033948019244636,0.9515071346148434,0.951555183767504,0.9500248075279751,2e-05,1568.304625,2221.0
6,0.587293045700816,0.9591764937660071,0.959193490555902,0.9580715188180989,2e-05,1572.243625,2221.0
7,0.5798931110150499,0.9627086206411303,0.9627299362143159,0.9608028940064132,2e-05,1572.082,2221.0
8,0.565872719663574,0.9686893135571755,0.9687060456269033,0.9679160132300313,2e-05,1568.181375,2221.0
9,0.5649243786837516,0.9696462244237426,0.9696551875942435,0.9685419288903603,2e-05,1571.04025,2221.0
10,0.5586773200651893,0.9735723734203935,0.9735832683522917,0.9721366377803945,2e-05,1567.177,2221.0
11,0.5533495240091911,0.9750218119388703,0.9750238518745213,0.9741874226118336,1e-05,1580.0315,2221.0
12,0.5333986363591856,0.9844783428555346,0.984479255633448,0.9834283742658981,1e-05,1567.53975,2221.0
