epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.2693625767847858,0.5078950640308343,0.518023190270512,0.5309979505708146,2e-05,282.56025,252.0
2,0.9924499556361095,0.6850677607857765,0.6928765117511281,0.7047970050888611,2e-05,254.45421875,252.0
3,0.8490920653394186,0.7647643913962452,0.7696071577402166,0.7841536079418225,2e-05,254.330859375,252.0
4,0.7855625829115059,0.8142484147706079,0.8172518581589573,0.8253119433853013,2e-05,255.35890625,252.0
5,0.7404022941716227,0.8403580753450205,0.8424058850340849,0.8518613227506681,2e-05,252.81865625,252.0
6,0.6960746365875269,0.8663434042024121,0.8680285740875137,0.8782499256262238,2e-05,253.165984375,252.0
7,0.6686177193770194,0.8808902150938704,0.8824941716754484,0.8916875589365593,2e-05,251.4465625,252.0
8,0.6468978555407318,0.8936963819470347,0.8946912428502588,0.9022808360023383,2e-05,254.939453125,252.0
9,0.6151532502253227,0.9093621782916822,0.9100358129619754,0.9161036026377783,2e-05,252.9304375,252.0
10,0.6003293905346515,0.9166977495959219,0.9171626643144775,0.9251676003861118,2e-05,252.95290625,252.0
11,0.598709004866192,0.9222926768618674,0.922731863062644,0.9295869508421,1e-05,254.6514375,252.0
