epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.3912457075749178,0.415582726326743,0.4327404605507957,0.4226741368506667,2e-05,86.6035703125,241.0
2,1.087961983296179,0.6278616024973985,0.637972555796071,0.633169398333195,2e-05,51.83885546875,241.0
3,0.9483219873582659,0.7138397502601457,0.7212954697710161,0.7232634550038317,2e-05,50.6929453125,241.0
4,0.8843674095624692,0.7531217481789803,0.7585702127496805,0.7642676302884763,2e-05,48.315921875,241.0
5,0.8151427064552268,0.7956555671175859,0.7992514027274134,0.805310870511478,2e-05,51.00219921875,241.0
6,0.7875871235324491,0.816207075962539,0.8192310415151691,0.8215193079366934,1e-05,49.26536328125,241.0
7,0.7122787617681922,0.8498959417273674,0.8518187793466891,0.8532889878243854,1e-05,48.29883203125,241.0
8,0.6801379558385101,0.8670655567117586,0.868583735275133,0.870869319133766,1e-05,48.86554296875,241.0
9,0.6617970265347305,0.8802029136316337,0.8814343088422689,0.8834667047701221,1e-05,48.500203125,241.0
10,0.6536416237113627,0.8830645161290323,0.8843111705163698,0.8870397222117639,5e-06,50.12826171875,241.0
11,0.623366394164535,0.9008844953173777,0.9017353851853986,0.9028673811794802,5e-06,49.2018671875,241.0
12,0.6167992593470523,0.9008844953173777,0.9019465972310357,0.9058482899675148,5e-06,49.5475859375,241.0
