epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,0.9459746040665646,0.9920913004304736,0.9920958869637307,0.9909314265538737,1e-05,285.3575625,313.0
2,0.9403767263534871,0.9940935028531385,0.9940971770941632,0.9939836916387382,1e-05,244.192890625,313.0
3,0.9456540270901405,0.9941936129742717,0.9941931350615184,0.9915767629142407,5e-06,244.37190625,313.0
4,0.9390357812910016,0.9951947141856041,0.9951968236101486,0.9936832510112052,5e-06,246.37834375,313.0
5,0.941701559693931,0.9966963660026029,0.9966966566555089,0.9945633927762881,5e-06,244.62534375,313.0
6,0.9381942996714778,0.9962959255180699,0.9962976678281068,0.9952855899448668,5e-06,243.749859375,313.0
7,0.9319849821800154,0.9958954850335369,0.9958957469218073,0.993590288149426,2.5e-06,245.571390625,313.0
8,0.936435096464855,0.9966963660026029,0.9966972267316719,0.9960959548529822,2.5e-06,247.0080625,313.0
9,0.9281136742439198,0.9973971368505355,0.997398747165653,0.9966316988539103,2.5e-06,246.26559375,313.0
10,0.9263728908237507,0.9984983481830013,0.9984990001720927,0.9975839658782523,1.25e-06,245.02196875,313.0
11,0.9264084996791893,0.9981980178196016,0.9981979119796809,0.9974960778182472,1.25e-06,246.959890625,313.0
